protein_id,accession,prophage_id,original_product,length_aa,putative_function,nearest_neighbor_protein_id,nearest_neighbor_prophage_id,cosine_similarity,confidence
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09335,GCF_000014525.1,pp2,hypothetical protein,73,Prophage Lp2 protein 24,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2005,pp2,0.9822,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09360,GCF_000014525.1,pp2,hypothetical protein,76,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9827,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09365,GCF_000014525.1,pp2,hypothetical protein,136,DUF1617 family protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10075,pp4,0.9881,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09370,GCF_000014525.1,pp2,hypothetical protein,59,Prophage Lp1 protein 32,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1662,pp1,0.9721,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09375,GCF_000014525.1,pp2,hypothetical protein,108,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9831,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09385,GCF_000014525.1,pp2,hypothetical protein,79,head protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06195,pp2,0.9848,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09395,GCF_000014525.1,pp2,hypothetical protein,84,YopX family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00125,pp1,0.9734,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09400,GCF_000014525.1,pp2,hypothetical protein,109,head-tail connector protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04950,pp3,0.9928,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS14290,GCF_000014525.1,pp2,hypothetical protein,55,AbrB family transcriptional regulator,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08015,pp5,0.9819,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09430,GCF_000014525.1,pp2,hypothetical protein,83,phage head-tail connector protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10125,pp4,0.9834,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS14560,GCF_000014525.1,pp2,hypothetical protein,42,DUF1056 family protein,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10485,pp2,0.9805,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09435,GCF_000014525.1,pp2,hypothetical protein,168,Prophage Lp2 protein 13,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2013,pp2,0.9935,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS14295,GCF_000014525.1,pp2,hypothetical protein,52,DUF6877 family protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10380,pp3,0.9836,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09440,GCF_000014525.1,pp2,hypothetical protein,162,phage head-tail connector protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10325,pp3,0.9887,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09460,GCF_000014525.1,pp2,hypothetical protein,282,Ltp family lipoprotein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS19235,pp5,0.9721,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09480,GCF_000014525.1,pp2,hypothetical protein,67,DUF1056 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09820,pp3,0.972,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09490,GCF_000014525.1,pp2,hypothetical protein,131,P27 family phage terminase small subunit,GCF_000023085.1__pp2__513673-552269__JDM1_RS02520,pp2,0.9853,high
GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09495,GCF_000014525.1,pp2,hypothetical protein,218,abortive infection family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10370,pp5,0.9748,high
GCF_000016825.1__pp1__733651-741034__LREU_RS10730,GCF_000016825.1,pp1,hypothetical protein,135,DUF6275 family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10510,pp5,0.9899,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04270,GCF_000016825.1,pp2,hypothetical protein,173,DUF5067 domain-containing protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS11710,pp2,0.9465,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04275,GCF_000016825.1,pp2,hypothetical protein,134,DUF4428 domain-containing protein,GCF_000148815.2__pp1__784086-803154__LPST_RS03605,pp1,0.9679,high
GCF_000016825.1__pp2__869104-911067__LREU_RS10620,GCF_000016825.1,pp2,hypothetical protein,42,BC1881 family protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS16175,pp4,0.9819,high
GCF_000016825.1__pp2__869104-911067__LREU_RS10625,GCF_000016825.1,pp2,hypothetical protein,40,energy-coupling factor ABC transporter substrate-binding protein,GCF_041888805.1__pp7__1962103-2002786__ACEPPB_RS09780,pp7,0.9778,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04310,GCF_000016825.1,pp2,hypothetical protein,67,DUF1056 family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00075,pp1,0.9778,high
GCF_000016825.1__pp2__869104-911067__LREU_RS10440,GCF_000016825.1,pp2,hypothetical protein,58,DUF5049 domain-containing protein,GCF_000014425.1__pp2__1464980-1483558__LGAS_RS07280,pp2,0.9811,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04335,GCF_000016825.1,pp2,hypothetical protein,109,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9805,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04340,GCF_000016825.1,pp2,hypothetical protein,123,DUF1642 domain-containing protein,GCF_000203855.3__pp1__590128-628381__LP_RS02830,pp1,0.9909,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04345,GCF_000016825.1,pp2,hypothetical protein,92,DUF771 domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10310,pp5,0.9883,high
GCF_000016825.1__pp2__869104-911067__LREU_RS10445,GCF_000016825.1,pp2,hypothetical protein,50,DUF2273 domain-containing protein,GCF_001704335.1__pp8__24101-56829__AVR83_RS17455,pp8,0.9782,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04355,GCF_000016825.1,pp2,hypothetical protein,64,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9821,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04360,GCF_000016825.1,pp2,hypothetical protein,86,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9757,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04370,GCF_000016825.1,pp2,hypothetical protein,62,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9773,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04375,GCF_000016825.1,pp2,hypothetical protein,86,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9872,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04380,GCF_000016825.1,pp2,hypothetical protein,103,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9874,high
GCF_000016825.1__pp2__869104-911067__LREU_RS10450,GCF_000016825.1,pp2,hypothetical protein,47,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9817,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04385,GCF_000016825.1,pp2,hypothetical protein,140,ArpU family phage packaging/lysis transcriptional regulator,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10490,pp5,0.9864,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04395,GCF_000016825.1,pp2,hypothetical protein,68,phage head-tail connector protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06175,pp2,0.9834,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04405,GCF_000016825.1,pp2,hypothetical protein,141,HK97 gp10 family phage protein,GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06805,pp2,0.9733,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04415,GCF_000016825.1,pp2,hypothetical protein,167,phBC6A51 family helix-turn-helix protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS02955,pp2,0.9862,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04455,GCF_000016825.1,pp2,hypothetical protein,104,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9865,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04460,GCF_000016825.1,pp2,hypothetical protein,186,Prophage Lp2 protein 43,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1987,pp2,0.993,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04465,GCF_000016825.1,pp2,hypothetical protein,136,phage tail terminator family protein,GCF_000014425.1__pp1__600763-679301__LGAS_RS03030,pp1,0.9926,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04470,GCF_000016825.1,pp2,hypothetical protein,215,Phage major tail protein,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1647,pp1,0.9905,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04480,GCF_000016825.1,pp2,hypothetical protein,59,Prophage Lp2 protein 47,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1983,pp2,0.9763,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04505,GCF_000016825.1,pp2,hypothetical protein,90,DUF2977 domain-containing protein,GCF_000203855.3__pp1__590128-628381__LP_RS02945,pp1,0.9543,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04510,GCF_000016825.1,pp2,hypothetical protein,90,phage tail assembly chaperone G,GCF_000023085.1__pp2__513673-552269__JDM1_RS02570,pp2,0.9846,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04525,GCF_000016825.1,pp2,hypothetical protein,134,phage baseplate upper protein,GCF_000203855.3__pp1__590128-628381__LP_RS02935,pp1,0.9769,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04530,GCF_000016825.1,pp2,hypothetical protein,148,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9899,high
GCF_000016825.1__pp2__869104-911067__LREU_RS04535,GCF_000016825.1,pp2,hypothetical protein,389,Prophage Lp2 protein 53,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1638,pp1,0.955,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05785,GCF_000016825.1,pp3,hypothetical protein,89,P27 family phage terminase small subunit,GCF_000023085.1__pp2__513673-552269__JDM1_RS02520,pp2,0.9839,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05790,GCF_000016825.1,pp3,hypothetical protein,80,DUF4355 domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01655,pp1,0.9509,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05795,GCF_000016825.1,pp3,hypothetical protein,1359,pyocin knob domain-containing protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04500,pp2,0.9935,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS10635,GCF_000016825.1,pp3,hypothetical protein,44,phage head-tail connector protein,GCF_014131735.1__pp1__1061088-1107946__E5260_RS04995,pp1,0.9853,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05830,GCF_000016825.1,pp3,HK97-gp10 family putative phage morphogenesis protein,141,host-nuclease inhibitor Gam family protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09930,pp4,0.9884,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05865,GCF_000016825.1,pp3,hypothetical protein,57,protein-tyrosine phosphatase family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09445,pp2,0.9845,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05870,GCF_000016825.1,pp3,hypothetical protein,145,DUF4428 domain-containing protein,GCF_000148815.2__pp1__784086-803154__LPST_RS03605,pp1,0.9748,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05885,GCF_000016825.1,pp3,hypothetical protein,59,DUF771 domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10310,pp5,0.9555,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05900,GCF_000016825.1,pp3,hypothetical protein,280,NUDIX hydrolase,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08560,pp3,0.9765,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05910,GCF_000016825.1,pp3,hypothetical protein,140,ArpU family phage packaging/lysis transcriptional regulator,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10490,pp5,0.9864,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS10470,GCF_000016825.1,pp3,hypothetical protein,47,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9817,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05915,GCF_000016825.1,pp3,hypothetical protein,103,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9874,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05920,GCF_000016825.1,pp3,hypothetical protein,86,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9872,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05925,GCF_000016825.1,pp3,hypothetical protein,62,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9773,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05935,GCF_000016825.1,pp3,hypothetical protein,86,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9757,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05940,GCF_000016825.1,pp3,hypothetical protein,64,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9821,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS10475,GCF_000016825.1,pp3,hypothetical protein,50,DUF2273 domain-containing protein,GCF_001704335.1__pp8__24101-56829__AVR83_RS17455,pp8,0.9782,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05950,GCF_000016825.1,pp3,hypothetical protein,92,DUF771 domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10310,pp5,0.9883,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05955,GCF_000016825.1,pp3,hypothetical protein,123,DUF1642 domain-containing protein,GCF_000203855.3__pp1__590128-628381__LP_RS02830,pp1,0.9909,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05960,GCF_000016825.1,pp3,hypothetical protein,109,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9805,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05980,GCF_000016825.1,pp3,hypothetical protein,76,DUF6877 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04300,pp2,0.9836,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05985,GCF_000016825.1,pp3,hypothetical protein,61,energy-coupling factor ABC transporter substrate-binding protein,GCF_041888805.1__pp7__1962103-2002786__ACEPPB_RS09780,pp7,0.9814,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05990,GCF_000016825.1,pp3,hypothetical protein,168,TIGR02391 family protein,GCF_000014525.1__pp1__501259-545033__LSEI_RS02380,pp1,0.9739,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS10640,GCF_000016825.1,pp3,hypothetical protein,43,DUF5049 domain-containing protein,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS07785,pp5,0.9819,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS05995,GCF_000016825.1,pp3,hypothetical protein,92,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9874,high
GCF_000016825.1__pp3__1162622-1201468__LREU_RS06025,GCF_000016825.1,pp3,hypothetical protein,105,phage head-tail connector protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06175,pp2,0.9874,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05085,GCF_000019245.4,pp1,hypothetical protein,152,head-tail connector protein,GCF_001704335.1__pp3__1024001-1037032__AVR83_RS04965,pp3,0.9714,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS15405,GCF_000019245.4,pp1,hypothetical protein,40,LPXTG cell wall anchor domain-containing protein,GCF_000026505.1__pp2__1528627-1569239__LGG_RS15705,pp2,0.9633,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05125,GCF_000019245.4,pp1,hypothetical protein,102,phage head-tail connector protein,GCF_000203855.3__pp1__590128-628381__LP_RS02880,pp1,0.9891,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05145,GCF_000019245.4,pp1,hypothetical protein,73,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9869,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS15410,GCF_000019245.4,pp1,hypothetical protein,44,DUF1056 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09820,pp3,0.9785,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05150,GCF_000019245.4,pp1,hypothetical protein,63,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9775,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05155,GCF_000019245.4,pp1,hypothetical protein,91,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9876,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05160,GCF_000019245.4,pp1,hypothetical protein,62,head-tail connector protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04950,pp3,0.9804,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05175,GCF_000019245.4,pp1,hypothetical protein,113,prophage P3 protein 9,GCF_000203855.3__pp4__2999326-3007279__LP_RS14120,pp4,0.9873,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS05195,GCF_000019245.4,pp1,hypothetical protein,59,DUF1056 family protein,GCF_000026505.1__pp2__1528627-1569239__LGG_RS16420,pp2,0.9847,high
GCF_000019245.4__pp1__971299-993782__LCAZH_RS15215,GCF_000019245.4,pp1,hypothetical protein,46,phage holin,GCF_000008065.1__pp1__327894-370611__LJ_RS01735,pp1,0.956,high
GCF_000019245.4__pp2__21080-31953__LCAZH_RS14695,GCF_000019245.4,pp2,putative holin-like toxin,29,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9687,high
GCF_000019245.4__pp2__21080-31953__LCAZH_RS14700,GCF_000019245.4,pp2,putative holin-like toxin,29,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9687,high
GCF_000019245.4__pp2__21080-31953__LCAZH_RS00170,GCF_000019245.4,pp2,hypothetical protein,190,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9864,high
GCF_000023085.1__pp1__39443-53448__JDM1_RS00170,GCF_000023085.1,pp1,hypothetical protein,76,preprotein translocase subunit TatB,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07570,pp4,0.9576,high
GCF_000023085.1__pp1__39443-53448__JDM1_RS00185,GCF_000023085.1,pp1,hypothetical protein,139,Prophage Lp4 protein 12,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2032,pp2,1.0,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02365,GCF_000023085.1,pp2,hypothetical protein,85,DUF6978 family protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10325,pp4,0.9828,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS15625,GCF_000023085.1,pp2,hypothetical protein,58,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9847,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02375,GCF_000023085.1,pp2,hypothetical protein,222,toxin Cry1Ac domain D-VI-related protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11640,pp4,0.9716,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02390,GCF_000023085.1,pp2,hypothetical protein,69,helix-turn-helix domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10275,pp4,0.9726,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02395,GCF_000023085.1,pp2,hypothetical protein,71,NUDIX hydrolase,GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06665,pp2,0.9827,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02400,GCF_000023085.1,pp2,hypothetical protein,60,helix-turn-helix domain-containing protein,GCF_000248095.2__pp3__645322-648828__LBLM1_RS03260,pp3,0.9798,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02405,GCF_000023085.1,pp2,hypothetical protein,90,helix-turn-helix domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10425,pp5,0.9788,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02410,GCF_000023085.1,pp2,hypothetical protein,149,HIRAN domain-containing protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08525,pp3,0.9865,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02415,GCF_000023085.1,pp2,hypothetical protein,61,protein-tyrosine phosphatase family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09445,pp2,0.9709,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS15630,GCF_000023085.1,pp2,hypothetical protein,56,IS66 family insertion sequence element accessory protein TnpB,GCF_041888805.1__pp2__343838-371175__ACEPPB_RS01670,pp2,0.9861,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02420,GCF_000023085.1,pp2,hypothetical protein,83,YopX family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00125,pp1,0.9876,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02425,GCF_000023085.1,pp2,hypothetical protein,83,DUF6275 family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10510,pp5,0.985,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02445,GCF_000023085.1,pp2,hypothetical protein,199,phage tail protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03020,pp2,0.9767,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02450,GCF_000023085.1,pp2,hypothetical protein,184,Prophage Lp4 protein 12,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2032,pp2,0.9883,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02470,GCF_000023085.1,pp2,hypothetical protein,74,ribosomal-processing cysteine protease Prp,GCF_000008065.1__pp1__327894-370611__LJ_RS09590,pp1,0.9802,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02485,GCF_000023085.1,pp2,hypothetical protein,103,protein-tyrosine phosphatase family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09445,pp2,0.9855,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02490,GCF_000023085.1,pp2,hypothetical protein,143,transcriptional regulator,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08445,pp3,0.9799,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02495,GCF_000023085.1,pp2,hypothetical protein,235,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9724,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02500,GCF_000023085.1,pp2,hypothetical protein,71,phage head-tail connector protein,GCF_000203855.3__pp1__590128-628381__LP_RS02880,pp1,0.9874,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02510,GCF_000023085.1,pp2,hypothetical protein,84,ribosomal-processing cysteine protease Prp,GCF_000008065.1__pp1__327894-370611__LJ_RS09590,pp1,0.9843,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02515,GCF_000023085.1,pp2,hypothetical protein,83,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9806,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02545,GCF_000023085.1,pp2,hypothetical protein,101,phage head-tail connector protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03000,pp2,0.99,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02550,GCF_000023085.1,pp2,hypothetical protein,131,phage head closure protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00050,pp1,0.9827,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02555,GCF_000023085.1,pp2,hypothetical protein,135,HK97 gp10 family phage protein,GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06805,pp2,0.9988,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02560,GCF_000023085.1,pp2,hypothetical protein,140,gp17 family tail completion protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03015,pp2,0.9905,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS15775,GCF_000023085.1,pp2,hypothetical protein,205,Ntn hydrolase family protein,GCF_000014525.1__pp1__501259-545033__LSEI_RS02465,pp1,0.9761,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02600,GCF_000023085.1,pp2,hypothetical protein,144,head-tail connector protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09800,pp3,0.9815,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02605,GCF_000023085.1,pp2,hypothetical protein,125,DUF1056 family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00075,pp1,0.9648,high
GCF_000023085.1__pp2__513673-552269__JDM1_RS02610,GCF_000023085.1,pp2,hypothetical protein,90,phage holin,GCF_000008065.1__pp1__327894-370611__LJ_RS01735,pp1,0.97,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04790,GCF_000023085.1,pp3,hypothetical protein,104,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9905,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04800,GCF_000023085.1,pp3,hypothetical protein,66,DUF2273 domain-containing protein,GCF_001704335.1__pp8__24101-56829__AVR83_RS17455,pp8,0.9728,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04820,GCF_000023085.1,pp3,hypothetical protein,71,DUF771 domain-containing protein,GCF_000014425.1__pp1__600763-679301__LGAS_RS03150,pp1,0.9755,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04830,GCF_000023085.1,pp3,hypothetical protein,69,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9892,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04835,GCF_000023085.1,pp3,hypothetical protein,71,tail assembly chaperone,GCF_000203855.3__pp3__2163938-2219895__LP_RS10300,pp3,0.9744,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04850,GCF_000023085.1,pp3,hypothetical protein,86,helix-turn-helix domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10425,pp5,0.9789,high
GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04860,GCF_000023085.1,pp3,hypothetical protein,84,transcriptional regulator,GCF_000016825.1__pp1__733651-741034__LREU_RS03620,pp1,0.9772,high
